,Source,Target,Weight,Type
1,avellaneda_sab_cuba,bazan_various_spain,2,undirected
2,avellaneda_sab_cuba,isaacs_maria_colombia,3,undirected
3,avellaneda_sab_cuba,mitre_soledad_bolivia,6,undirected
4,avellaneda_sab_cuba,samper_dolores_colombia,1,undirected
5,bazan_various_spain,avellaneda_sab_cuba,2,undirected
6,bazan_various_spain,carrasquilla_frutosDeMiTierra_colombia,5,undirected
7,bazan_various_spain,diaz_manuela_colombia,3,undirected
8,bazan_various_spain,galdos_trafalgar_spain,4,undirected
9,bazan_various_spain,hernandez_martinFierro_argentina,3,undirected
10,bazan_various_spain,isaacs_maria_colombia,3,undirected
11,bazan_various_spain,marmol_amalia_argentina,1,undirected
12,bazan_various_spain,martí_nuestraAmerica_cuba,3,undirected
13,bazan_various_spain,mitre_soledad_bolivia,2,undirected
14,bazan_various_spain,palacios_elAlferezReal_colombia,1,undirected
15,bazan_various_spain,samper_dolores_colombia,3,undirected
16,carrasquilla_frutosDeMiTierra_colombia,bazan_various_spain,5,undirected
17,carrasquilla_frutosDeMiTierra_colombia,cuervo_apuntacionesCriticas_colombia,2,undirected
18,carrasquilla_frutosDeMiTierra_colombia,diaz_manuela_colombia,6,undirected
19,carrasquilla_frutosDeMiTierra_colombia,hernandez_martinFierro_argentina,2,undirected
20,carrasquilla_frutosDeMiTierra_colombia,lizardi_periquilloFull_mexico,2,undirected
21,carrasquilla_frutosDeMiTierra_colombia,palacios_elAlferezReal_colombia,3,undirected
22,cuervo_apuntacionesCriticas_colombia,carrasquilla_frutosDeMiTierra_colombia,2,undirected
23,cuervo_apuntacionesCriticas_colombia,diaz_manuela_colombia,1,undirected
24,cuervo_apuntacionesCriticas_colombia,martí_nuestraAmerica_cuba,4,undirected
25,diaz_manuela_colombia,bazan_various_spain,3,undirected
26,diaz_manuela_colombia,carrasquilla_frutosDeMiTierra_colombia,6,undirected
27,diaz_manuela_colombia,cuervo_apuntacionesCriticas_colombia,1,undirected
28,diaz_manuela_colombia,galdos_trafalgar_spain,1,undirected
29,diaz_manuela_colombia,hernandez_martinFierro_argentina,1,undirected
30,diaz_manuela_colombia,lizardi_periquilloFull_mexico,3,undirected
31,diaz_manuela_colombia,marmol_amalia_argentina,3,undirected
32,diaz_manuela_colombia,martí_nuestraAmerica_cuba,2,undirected
33,diaz_manuela_colombia,palacios_elAlferezReal_colombia,5,undirected
34,galdos_trafalgar_spain,bazan_various_spain,4,undirected
35,galdos_trafalgar_spain,diaz_manuela_colombia,1,undirected
36,galdos_trafalgar_spain,lizardi_periquilloFull_mexico,3,undirected
37,galdos_trafalgar_spain,samper_dolores_colombia,2,undirected
38,hernandez_martinFierro_argentina,bazan_various_spain,3,undirected
39,hernandez_martinFierro_argentina,carrasquilla_frutosDeMiTierra_colombia,2,undirected
40,hernandez_martinFierro_argentina,diaz_manuela_colombia,1,undirected
41,isaacs_maria_colombia,avellaneda_sab_cuba,3,undirected
42,isaacs_maria_colombia,bazan_various_spain,3,undirected
43,isaacs_maria_colombia,samper_dolores_colombia,1,undirected
44,lizardi_periquilloFull_mexico,carrasquilla_frutosDeMiTierra_colombia,2,undirected
45,lizardi_periquilloFull_mexico,diaz_manuela_colombia,3,undirected
46,lizardi_periquilloFull_mexico,galdos_trafalgar_spain,3,undirected
47,marmol_amalia_argentina,bazan_various_spain,1,undirected
48,marmol_amalia_argentina,diaz_manuela_colombia,3,undirected
49,marmol_amalia_argentina,palacios_elAlferezReal_colombia,2,undirected
50,martí_nuestraAmerica_cuba,bazan_various_spain,3,undirected
51,martí_nuestraAmerica_cuba,cuervo_apuntacionesCriticas_colombia,4,undirected
52,martí_nuestraAmerica_cuba,diaz_manuela_colombia,2,undirected
53,mitre_soledad_bolivia,avellaneda_sab_cuba,6,undirected
54,mitre_soledad_bolivia,bazan_various_spain,2,undirected
55,mitre_soledad_bolivia,samper_dolores_colombia,1,undirected
56,palacios_elAlferezReal_colombia,bazan_various_spain,1,undirected
57,palacios_elAlferezReal_colombia,carrasquilla_frutosDeMiTierra_colombia,3,undirected
58,palacios_elAlferezReal_colombia,diaz_manuela_colombia,5,undirected
59,palacios_elAlferezReal_colombia,marmol_amalia_argentina,2,undirected
60,samper_dolores_colombia,avellaneda_sab_cuba,1,undirected
61,samper_dolores_colombia,bazan_various_spain,3,undirected
62,samper_dolores_colombia,galdos_trafalgar_spain,2,undirected
63,samper_dolores_colombia,isaacs_maria_colombia,1,undirected
64,samper_dolores_colombia,mitre_soledad_bolivia,1,undirected
